entry_num,dance_name,division,style,group_size,studio,time
83,Kiki,Junior,Hip Hop,Duo/Trio,Broadway South Dance,11:46
84,Like This Like,Junior,Jazz,Duo/Trio,Revolution Dance That Company,11:49
85,Good To Go,Junior,Jazz,Duo/Trio,LA Dance Space,11:52
86,Work Me Down,Junior,Jazz,Duo/Trio,Kelly's Studio Of Dance,11:54
87,Above The,Junior,Lyrical,Duo/Trio,Lemoine Academy Clouds of Dance,11:57
88,Tomorrow,Junior,Lyrical,Duo/Trio,elite dance force,12:00
89,History Of Love,Teen,Contemporary,Solo,Lemoine Academy of Dance,1:13
90,Breathe,Teen,Contemporary,Solo,Lemoine Academy of Dance,1:15
91,End Of The,Teen,Contemporary,Solo,Lemoine Academy World of Dance,1:18
92,If Only,Teen,Contemporary,Solo,Revolution Dance Company,1:21
93,Dreaming Awake,Teen,Contemporary,Solo,Lemoine Academy of Dance,1:24
94,Something Bad,Teen,Contemporary,Solo,Revolution Dance Company,1:26
95,Train Wreck,Teen,Contemporary,Solo,LA Dance Space,1:29
96,River Of Woe,Teen,Contemporary,Solo,Lemoine Academy of Dance,1:31
97,Touch,Teen,Contemporary,Solo,Revolution Dance Company,1:34
98,How Glad I Am,Teen,Contemporary,Solo,Lemoine Academy of Dance,1:37
99,Imagine,Teen,Contemporary,Solo,Revolution Dance Company,1:40
100,White Winter,Teen,Contemporary,Solo,Lemoine Academy of Dance,1:42
101,Shapeshifter,Teen,Contemporary,Solo,Revolution Dance Company,1:45
102,Who I Am Now,Teen,Contemporary,Solo,The Pointe Dance Arts,1:48
103,Astronaut,Teen,Contemporary,Solo,Revolution Dance Company,1:50
104,Tipping Point,Teen,Contemporary,Solo,Sheffield School of the Dance,1:53
105,Who You Are,Teen,Contemporary,Solo,Revolution Dance Company,1:56
106,Flame Of,Teen,Contemporary,Solo,Sheffield School of Farewell the Dance,1:58
107,Resurgence,Teen,Contemporary,Solo,The Pointe Dance Arts,2:01
108,Wild Horses,Teen,Contemporary,Solo,Revolution Dance Company,2:04
109,Super Trooper,Teen,Contemporary,Solo,elite dance force,2:07
110,Monsoon,Teen,Contemporary,Solo,Revolution Dance Company,2:09
111,Wait For Your,Teen,Contemporary,Solo,Broadway South Love Dance,2:12
112,Dreams,Teen,Contemporary,Solo,RAVE Dance Connection LLC,2:14
113,Wait for You,Teen,Contemporary,Solo,Revolution Dance Company,2:17
